	F1M	F1T1	F1T2	F2M	F2T1	F2T2	F3M	F3T1	F3T2	F4M	F4T1	F4T2
NODE_1_length_170947_cov_11.608490	5	1	11026	0	0	0	0	0	0	2	0	0
NODE_2_length_123929_cov_12.536376	0	0	0	0	0	0	0	0	0	2	8468	0
NODE_3_length_65580_cov_9.172469	0	0	0	0	0	0	0	0	0	0	2	3433
NODE_4_length_59687_cov_8.073182	2	8	28	2763	0	2	0	3	61	45	0	0
NODE_5_length_56341_cov_17.933767	0	0	0	0	0	1	0	0	0	5959	4	0
NODE_6_length_54722_cov_28.133517	1	143	0	0	5	1	0	9	9064	7	0	0
NODE_7_length_54062_cov_13.375451	0	0	0	0	0	0	0	0	0	2	3957	0
NODE_8_length_51666_cov_10.753638	0	0	0	1	0	0	0	0	3136	0	0	0
NODE_9_length_51657_cov_10.814968	0	0	0	2888	0	3	0	1	10	230	0	9
NODE_10_length_48940_cov_6.300767	19	11	0	1654	0	0	0	0	0	0	0	0
NODE_11_length_47620_cov_11.263786	2802	13	0	3	0	0	0	0	22	87	0	0
NODE_12_length_44911_cov_10.942327	0	0	0	2	0	6	0	0	5	0	4	2758
NODE_13_length_39608_cov_28.662579	0	0	0	1	0	0	6345	0	0	1	0	18
NODE_14_length_39479_cov_12.359933	0	0	0	2850	0	0	0	0	0	0	0	0
NODE_15_length_39149_cov_13.654499	1	3116	0	0	0	0	0	0	11	0	0	0
NODE_16_length_38573_cov_6.385145	0	0	0	0	0	0	0	0	1331	0	0	0
NODE_17_length_38367_cov_28.013703	0	6	0	0	0	0	0	0	5846	0	0	0
NODE_18_length_35998_cov_7.326934	0	0	2	1454	0	0	0	0	0	1	2	0
NODE_19_length_35809_cov_5.821866	1182	0	0	0	0	0	0	0	0	0	0	0
NODE_20_length_34817_cov_5.550659	0	4	9	2	0	1	0	0	1060	17	2	0
NODE_21_length_34563_cov_5.316159	1039	0	0	0	0	0	0	0	0	0	0	0
NODE_22_length_34439_cov_18.252588	0	0	0	0	0	0	0	0	0	3387	0	0
NODE_23_length_34288_cov_11.439517	0	2218	0	2	0	0	0	0	0	82	0	0
NODE_24_length_30445_cov_26.476374	0	0	0	0	3297	1331	0	1	0	0	7	0
NODE_25_length_28372_cov_17.524455	0	86	2686	0	0	0	0	0	0	0	0	0
NODE_26_length_27733_cov_24.997543	0	113	3948	0	0	0	0	0	2	0	0	2
NODE_27_length_27212_cov_23.238723	11	1	3512	19	0	0	0	0	0	0	0	0
NODE_28_length_26702_cov_6.660262	0	0	0	1005	0	0	0	0	21	1	0	0
NODE_29_length_26260_cov_4.603816	0	677	3	0	0	0	0	0	0	0	0	0
NODE_30_length_26086_cov_10.793976	0	177	0	817	0	1	0	0	695	0	0	0
NODE_31_length_24414_cov_6.675110	0	0	1	895	0	0	0	0	0	0	0	0
NODE_32_length_24024_cov_13.833243	1714	3	0	0	0	0	0	0	5	5	0	0
NODE_33_length_22287_cov_4.304201	538	0	0	0	0	0	0	0	0	0	0	0
NODE_34_length_21921_cov_25.004299	3	25	1	3049	0	4	0	0	22	0	0	9
NODE_35_length_21840_cov_28.823548	0	0	0	1	0	3498	16	0	0	0	0	1
NODE_36_length_21647_cov_25.221702	0	0	0	0	0	0	0	0	0	3227	4	0
NODE_37_length_21238_cov_17.430864	0	10	7	2	15	2039	0	0	5	0	0	0
NODE_38_length_21196_cov_23.153351	0	2600	0	0	2	0	0	0	5	0	0	0
NODE_39_length_20306_cov_22.618735	2	33	2	2560	0	10	0	0	11	1	0	4
NODE_40_length_20269_cov_23.672356	0	4	9	8	25	2550	81	0	2	5	82	35
NODE_41_length_19994_cov_30.783891	0	1	1	7	36	3264	122	0	4	11	52	41
NODE_42_length_19512_cov_4.576399	0	0	1	0	0	0	487	0	0	6	0	0
NODE_43_length_19511_cov_5.772050	0	0	0	609	0	0	0	0	0	0	0	0
NODE_44_length_19097_cov_32.224504	0	0	0	78	0	0	3409	0	0	0	0	0
NODE_45_length_19034_cov_17.047790	0	0	0	0	0	0	0	0	0	0	5	1864
NODE_46_length_18137_cov_5.287745	0	2	0	3	0	0	0	0	539	0	0	0
NODE_47_length_18024_cov_9.437698	0	912	13	0	0	0	0	0	0	0	0	0
NODE_48_length_17759_cov_32.094385	0	2	0	0	0	0	0	0	3130	0	0	0
NODE_49_length_17587_cov_34.068731	0	0	0	0	0	0	3032	8	214	0	1	0
NODE_50_length_17453_cov_43.388838	1	74	0	0	8	0	0	1	4334	3	0	1
NODE_51_length_17040_cov_25.975213	0	0	0	0	0	0	798	15	1627	1	0	0
NODE_52_length_16827_cov_87.368412	0	0	1	86	7774	262	0	0	0	0	0	0
NODE_53_length_16784_cov_31.933050	1	0	0	1	0	0	3	0	2868	0	0	0
NODE_54_length_16230_cov_29.214652	0	0	0	2818	0	1	0	0	0	0	0	0
NODE_55_length_16036_cov_29.196108	0	1	1	0	0	0	0	0	2617	0	0	0
NODE_56_length_15799_cov_4.618267	0	66	0	0	0	0	266	0	47	12	1	1
NODE_57_length_15471_cov_40.148028	0	0	0	0	0	3742	0	0	0	0	0	0
NODE_58_length_15470_cov_7.342264	0	0	0	642	0	0	0	0	0	0	0	0
NODE_59_length_15366_cov_9.115668	0	2	1	6	79	706	0	0	6	0	0	0
NODE_60_length_15143_cov_28.861546	0	0	0	2337	0	0	0	2	0	0	0	0
NODE_61_length_14893_cov_4.504178	375	0	0	0	0	0	0	0	0	0	0	0
NODE_62_length_14772_cov_15.504587	4	244	15	0	1	0	0	0	1123	0	1	0
NODE_63_length_14684_cov_17.773805	1	0	0	0	69	15	0	0	0	0	1477	6
NODE_64_length_14587_cov_4.766240	0	0	0	0	0	0	0	0	145	10	270	0
NODE_65_length_13937_cov_21.456058	0	140	0	607	0	0	0	0	939	0	0	0
NODE_66_length_13861_cov_11.168767	0	0	0	0	0	876	0	25	14	0	0	0
NODE_67_length_13789_cov_3.433741	0	266	0	0	0	0	0	0	0	0	0	0
NODE_68_length_13481_cov_7.627588	597	0	0	0	0	0	0	0	0	0	0	0
NODE_69_length_13471_cov_14.651535	3	228	18	0	0	0	0	0	984	2	2	0
NODE_70_length_13341_cov_22.117944	0	0	1505	0	0	0	0	0	0	25	0	0
NODE_71_length_13252_cov_4.212927	0	0	0	0	0	0	0	0	0	0	310	0
NODE_72_length_13193_cov_6.962627	0	519	0	1	0	2	0	0	0	18	0	0
NODE_73_length_13120_cov_10.985534	0	61	0	428	0	0	0	0	349	0	0	0
NODE_74_length_13048_cov_15.404218	0	88	10	15	2	0	39	1	881	15	51	0
NODE_75_length_13043_cov_3.710887	0	141	68	62	28	1	0	0	14	4	0	0
NODE_76_length_13004_cov_11.526064	0	624	140	0	0	0	0	12	0	0	0	0
NODE_77_length_13002_cov_7.923921	1	85	0	7	0	424	2	0	2	3	41	14
NODE_78_length_12929_cov_8.046916	0	557	1	0	0	0	0	0	0	0	0	0
NODE_79_length_12919_cov_29.034748	0	0	0	0	1	0	2147	0	0	0	0	0
NODE_80_length_12895_cov_4.779673	0	0	2	0	0	0	340	0	0	5	0	0
NODE_81_length_12875_cov_6.177535	3	0	0	425	0	0	0	0	0	0	0	0
NODE_82_length_12873_cov_8.700967	0	0	610	0	0	0	0	0	0	0	0	0
NODE_83_length_12839_cov_45.721683	0	0	0	0	1	0	0	0	0	0	3156	2
NODE_84_length_12732_cov_7.443165	0	0	0	533	0	0	0	0	0	0	0	0
NODE_85_length_12640_cov_6.040922	1	75	0	1	0	0	126	22	2	0	214	0
NODE_86_length_12500_cov_4.833186	0	1	2	0	12	325	0	0	22	0	2	0
NODE_87_length_12359_cov_8.429860	3	0	0	0	0	0	0	0	0	596	0	19
NODE_88_length_12259_cov_15.756227	0	0	4	2	3	1070	0	0	1	0	0	0
NODE_89_length_12221_cov_6.730643	0	0	19	0	6	452	0	7	16	0	0	0
NODE_90_length_12203_cov_5.057376	1	0	0	333	0	0	0	0	0	0	0	0
NODE_91_length_12172_cov_4.888421	0	0	0	0	0	5	0	0	1	225	159	0
NODE_92_length_12077_cov_4.191150	0	1	1	292	0	0	0	0	6	1	0	0
NODE_93_length_11988_cov_9.308975	1	0	3	0	7	591	0	0	0	0	0	0
NODE_94_length_11527_cov_38.472280	0	0	2554	4	0	0	0	0	0	0	0	2
NODE_95_length_11483_cov_31.117606	11	2	1850	11	3	0	0	1	0	0	0	1
NODE_96_length_11455_cov_4.818333	0	1	0	0	0	0	0	0	328	0	0	0
NODE_97_length_11425_cov_4.059455	0	1	0	0	0	0	259	0	0	0	0	1
NODE_98_length_11371_cov_4.629993	0	221	0	0	0	0	0	0	0	0	100	0
NODE_99_length_11280_cov_7.361514	0	12	1	0	0	0	434	0	0	0	0	0
NODE_100_length_11228_cov_6.333930	0	1	0	0	0	0	165	0	226	0	0	0
