OTU ID	SRR6286327	SRR6286328	SRR6286329	SRR6286330	SRR6286331	SRR6286332	SRR6286333	SRR6286334	SRR6286335	SRR6286336	SRR6286337	SRR6286338	SRR6286339	SRR6286340	SRR6286341	SRR6286342	SRR6286343	SRR6286344	SRR6286345	SRR6286346	SRR6286347	SRR6286348	SRR6286349	SRR6286350
Asv1	844	1048	615	171	201	926	110	719	919	982	545	1143	1005	752	147	160	110	90	1179	88	1260	1408	1212	1042
Asv10	597	684	402	318	354	570	104	446	527	507	326	636	603	439	271	278	85	84	712	99	742	855	779	617
Asv100	210	150	88	58	76	230	51	199	309	153	122	163	260	116	39	60	64	68	238	42	144	447	145	301
Asv1000	58	80	49	31	13	66	9	55	64	63	28	68	82	40	14	14	4	5	69	5	66	100	84	92
Asv1001	75	0	0	1	0	54	0	30	48	1	18	0	64	2	0	2	1	1	1	0	1	156	0	77
Asv1002	53	12	9	7	3	65	0	45	55	11	41	12	66	14	0	0	1	0	12	1	16	86	16	50
Asv1003	0	0	0	46	44	1	72	4	5	1	1	2	2	0	25	26	106	95	2	64	0	0	1	1
Asv1004	0	4	8	50	58	0	34	0	3	8	1	11	1	11	52	45	64	63	23	28	6	0	7	1
Asv1005	16	6	3	69	77	14	53	9	8	3	4	2	0	3	57	59	27	35	5	42	3	19	7	12
Asv1006	24	31	19	0	1	21	0	37	37	22	19	33	28	21	0	0	0	0	28	1	48	43	51	32
Asv1007	48	13	7	7	3	46	1	35	70	9	26	14	48	11	3	5	0	0	10	1	14	80	15	42
Asv1008	2	0	0	46	63	0	114	2	6	1	0	0	1	0	15	29	77	70	2	71	0	4	0	2
Asv1009	56	7	12	2	4	55	2	23	55	18	42	15	58	6	0	0	0	2	12	2	10	81	12	67
Asv101	210	194	125	60	70	279	18	188	261	217	165	199	324	106	69	62	37	32	234	26	196	488	186	404
Asv1010	13	48	22	22	20	24	32	19	26	15	12	32	29	13	10	15	17	14	19	28	41	16	39	5
Asv1011	0	1	1	60	59	0	95	2	1	0	1	0	1	1	49	23	70	63	2	74	1	0	0	0
Asv1012	45	31	12	5	3	39	1	10	16	17	9	24	15	15	2	8	0	2	32	1	40	78	39	44
Asv1013	27	45	13	0	0	36	0	21	34	20	17	35	27	25	1	0	0	0	28	0	44	38	46	32
Asv1014	66	21	12	12	16	40	8	32	28	25	18	20	38	29	14	8	9	9	28	9	28	66	28	51
Asv1015	2	43	21	37	31	1	22	3	1	24	3	37	2	22	22	22	31	33	33	26	40	5	32	4
Asv1016	4	44	25	0	2	2	0	3	5	55	5	84	4	64	1	2	0	0	86	1	50	2	60	2
Asv1017	28	37	13	2	4	48	0	12	32	21	10	21	17	23	0	3	0	0	51	0	36	86	37	61
Asv1018	18	49	18	2	0	29	1	5	15	40	6	39	13	37	0	1	0	0	76	0	53	32	51	24
Asv1019	35	10	6	0	0	19	0	44	38	45	40	43	31	40	0	0	0	0	72	0	16	48	8	32
Asv102	268	251	181	39	51	282	15	195	272	152	164	255	282	164	14	16	4	8	233	17	304	328	295	210
Asv1020	32	12	11	10	7	35	8	25	43	12	20	18	38	10	3	8	9	10	24	2	14	61	13	45
Asv1021	12	3	4	77	69	10	34	6	7	4	2	1	10	7	49	56	26	44	6	36	10	16	13	14
Asv1022	0	0	0	12	25	0	161	0	1	0	0	1	0	1	10	11	64	88	0	143	0	0	0	0
Asv1023	1	93	34	8	6	3	8	0	1	78	1	87	4	47	6	6	6	7	84	2	82	1	90	2
Asv1024	17	128	61	2	1	38	1	14	22	116	15	120	36	104	3	2	1	3	165	3	154	63	155	52
Asv1025	31	27	14	4	1	17	0	9	22	33	9	27	17	19	2	2	1	1	60	1	54	49	30	44
Asv1026	0	0	0	92	81	0	81	0	0	0	0	0	0	0	46	41	37	57	0	54	0	0	0	0
Asv1027	0	0	0	87	85	1	20	0	0	2	0	2	1	0	69	105	43	33	0	27	0	1	0	0
Asv1028	25	38	17	17	16	27	7	14	24	31	17	29	15	23	2	5	3	10	44	2	60	38	36	25
Asv1029	0	0	1	45	53	1	62	3	4	1	0	0	2	1	24	23	92	73	5	55	0	4	0	4
Asv103	179	192	132	125	143	183	64	126	180	180	118	159	180	161	72	103	75	104	258	85	236	388	207	228
Asv1030	1	51	22	0	0	5	2	2	1	73	2	77	3	50	0	0	0	1	100	0	44	3	43	2
Asv1031	46	17	8	3	1	49	0	47	39	6	31	12	45	8	4	0	0	1	12	1	15	89	13	61
Asv1032	20	36	18	18	12	25	9	10	16	19	9	50	20	26	10	7	2	6	32	9	51	22	57	19
Asv1033	10	73	33	1	4	13	1	15	17	39	7	51	15	37	5	3	2	1	48	3	83	23	69	9
Asv1034	21	37	21	2	5	10	0	12	9	35	7	68	16	32	2	2	0	2	63	0	55	21	46	18
Asv1035	49	20	1	2	5	53	0	37	41	9	28	14	52	9	2	2	1	2	13	1	16	83	8	51
Asv1036	15	42	13	11	7	27	15	36	23	7	18	31	26	29	4	4	6	8	23	17	50	32	39	14
Asv1037	3	49	22	1	1	0	0	0	3	52	2	69	7	48	0	0	1	2	88	4	47	2	53	3
Asv1038	46	9	4	0	0	63	0	40	64	3	27	9	59	2	0	0	0	1	9	0	9	109	4	38
Asv1039	0	26	22	0	1	0	0	0	0	65	0	90	0	53	0	0	0	3	105	2	46	0	29	0
Asv104	232	192	98	41	29	323	30	288	353	86	203	146	395	109	10	11	20	13	106	18	227	413	229	258
Asv1040	35	29	7	1	3	28	1	20	23	25	15	24	27	20	0	3	0	0	25	0	22	91	41	58
Asv1041	13	103	52	27	24	23	21	10	19	57	9	73	16	65	18	9	11	10	59	24	132	17	117	25
Asv1042	51	4	3	1	1	43	0	54	57	6	29	6	69	8	0	0	1	0	11	0	9	62	5	55
Asv1043	0	0	0	82	78	0	70	0	0	0	0	1	0	0	47	59	54	56	0	46	0	0	0	0
Asv1044	38	33	18	8	8	21	1	9	17	20	7	24	24	23	6	1	0	1	39	3	53	69	31	58
Asv1045	0	38	19	23	39	1	21	2	2	28	0	29	2	27	29	24	18	36	40	21	31	2	50	1
Asv1046	1	18	13	69	72	1	46	3	4	9	0	11	3	9	29	24	25	29	15	40	25	2	25	1
Asv1047	46	14	7	0	3	52	1	40	46	14	28	17	48	5	1	0	0	1	23	1	13	96	15	65
