ASV	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
Asv2	Bacteria	Actinobacteria	Actinobacteria					
Asv1	Bacteria	Actinobacteria	Actinobacteria					
Asv3	Bacteria	Actinobacteria	Actinobacteria					
Asv4	Bacteria	Actinobacteria	Actinobacteria					
Asv7	Bacteria	Actinobacteria	Actinobacteria					
Asv8	Bacteria	Actinobacteria	Actinobacteria					
Asv6	Bacteria	Actinobacteria	Actinobacteria					
Asv9	Bacteria	Actinobacteria	Actinobacteria					
Asv5	Bacteria	Actinobacteria	Actinobacteria					
Asv10	Bacteria	Actinobacteria	Actinobacteria					
Asv11	Bacteria	Actinobacteria	Actinobacteria					
Asv12	Bacteria	Actinobacteria	Actinobacteria					
Asv14	Bacteria	Actinobacteria	Actinobacteria					
Asv15	Bacteria	Actinobacteria	Actinobacteria					
Asv17	Bacteria	Actinobacteria	Actinobacteria					
Asv18	Bacteria	Actinobacteria	Actinobacteria					
Asv19	Bacteria	Actinobacteria	Actinobacteria					
Asv20	Bacteria	Actinobacteria	Actinobacteria					
Asv13	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv21	Bacteria	Actinobacteria	Actinobacteria					
Asv16	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv22	Bacteria	Actinobacteria	Actinobacteria					
Asv24	Bacteria	Actinobacteria	Actinobacteria					
Asv25	Bacteria	Actinobacteria	Actinobacteria					
Asv26	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv27	Bacteria	Actinobacteria	Actinobacteria					
Asv28	Bacteria	Actinobacteria	Actinobacteria					
Asv23	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv29	Bacteria	Actinobacteria	Actinobacteria					
Asv31	Bacteria	Actinobacteria	Actinobacteria					
Asv34	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv32	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv30	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv35	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv33	Bacteria	Actinobacteria						
Asv38	Bacteria	Actinobacteria	Actinobacteria					
Asv37	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv39	Bacteria	Actinobacteria						
Asv40	Bacteria	Actinobacteria	Actinobacteria					
Asv41	Bacteria	Actinobacteria	Actinobacteria					
Asv36	Bacteria	Actinobacteria	Actinobacteria					
Asv42	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv43	Bacteria	Actinobacteria	Actinobacteria					
Asv46	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv44	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv47	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv48	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv45	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv49	Bacteria	Actinobacteria	Actinobacteria					
Asv50	Bacteria	Actinobacteria	Actinobacteria					
Asv52	Bacteria	Actinobacteria	Actinobacteria					
Asv51	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv54	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv55	Bacteria	Actinobacteria	Actinobacteria					
Asv56	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			
Asv53	Bacteria	Actinobacteria	Actinobacteria					
