	contig
NODE_1_length_170947_cov_11.608490	contig1
NODE_2_length_123929_cov_12.536376	contig2
NODE_3_length_65580_cov_9.172469	contig3
NODE_4_length_59687_cov_8.073182	contig4
NODE_5_length_56341_cov_17.933767	contig5
NODE_6_length_54722_cov_28.133517	contig6
NODE_7_length_54062_cov_13.375451	contig7
NODE_8_length_51666_cov_10.753638	contig8
NODE_9_length_51657_cov_10.814968	contig9
NODE_10_length_48940_cov_6.300767	contig10
NODE_11_length_47620_cov_11.263786	contig11
NODE_12_length_44911_cov_10.942327	contig12
NODE_13_length_39608_cov_28.662579	contig13
NODE_14_length_39479_cov_12.359933	contig14
NODE_15_length_39149_cov_13.654499	contig15
NODE_16_length_38573_cov_6.385145	contig16
NODE_17_length_38367_cov_28.013703	contig17
NODE_18_length_35998_cov_7.326934	contig18
NODE_19_length_35809_cov_5.821866	contig19
NODE_20_length_34817_cov_5.550659	contig20
NODE_21_length_34563_cov_5.316159	contig21
NODE_22_length_34439_cov_18.252588	contig22
NODE_23_length_34288_cov_11.439517	contig23
NODE_24_length_30445_cov_26.476374	contig24
NODE_25_length_28372_cov_17.524455	contig25
NODE_26_length_27733_cov_24.997543	contig26
NODE_27_length_27212_cov_23.238723	contig27
NODE_28_length_26702_cov_6.660262	contig28
NODE_29_length_26260_cov_4.603816	contig29
NODE_30_length_26086_cov_10.793976	contig30
NODE_31_length_24414_cov_6.675110	contig31
NODE_32_length_24024_cov_13.833243	contig32
NODE_33_length_22287_cov_4.304201	contig33
NODE_34_length_21921_cov_25.004299	contig34
NODE_35_length_21840_cov_28.823548	contig35
NODE_36_length_21647_cov_25.221702	contig36
NODE_37_length_21238_cov_17.430864	contig37
NODE_38_length_21196_cov_23.153351	contig38
NODE_39_length_20306_cov_22.618735	contig39
NODE_40_length_20269_cov_23.672356	contig40
NODE_41_length_19994_cov_30.783891	contig41
NODE_42_length_19512_cov_4.576399	contig42
NODE_43_length_19511_cov_5.772050	contig43
NODE_44_length_19097_cov_32.224504	contig44
NODE_45_length_19034_cov_17.047790	contig45
NODE_46_length_18137_cov_5.287745	contig46
NODE_47_length_18024_cov_9.437698	contig47
NODE_48_length_17759_cov_32.094385	contig48
NODE_49_length_17587_cov_34.068731	contig49
NODE_50_length_17453_cov_43.388838	contig50
NODE_51_length_17040_cov_25.975213	contig51
NODE_52_length_16827_cov_87.368412	contig52
NODE_53_length_16784_cov_31.933050	contig53
NODE_54_length_16230_cov_29.214652	contig54
NODE_55_length_16036_cov_29.196108	contig55
NODE_56_length_15799_cov_4.618267	contig56
NODE_57_length_15471_cov_40.148028	contig57
NODE_58_length_15470_cov_7.342264	contig58
NODE_59_length_15366_cov_9.115668	contig59
NODE_60_length_15143_cov_28.861546	contig60
NODE_61_length_14893_cov_4.504178	contig61
NODE_62_length_14772_cov_15.504587	contig62
NODE_63_length_14684_cov_17.773805	contig63
NODE_64_length_14587_cov_4.766240	contig64
NODE_65_length_13937_cov_21.456058	contig65
NODE_66_length_13861_cov_11.168767	contig66
NODE_67_length_13789_cov_3.433741	contig67
NODE_68_length_13481_cov_7.627588	contig68
NODE_69_length_13471_cov_14.651535	contig69
NODE_70_length_13341_cov_22.117944	contig70
NODE_71_length_13252_cov_4.212927	contig71
NODE_72_length_13193_cov_6.962627	contig72
NODE_73_length_13120_cov_10.985534	contig73
NODE_74_length_13048_cov_15.404218	contig74
NODE_75_length_13043_cov_3.710887	contig75
NODE_76_length_13004_cov_11.526064	contig76
NODE_77_length_13002_cov_7.923921	contig77
NODE_78_length_12929_cov_8.046916	contig78
NODE_79_length_12919_cov_29.034748	contig79
NODE_80_length_12895_cov_4.779673	contig80
NODE_81_length_12875_cov_6.177535	contig81
NODE_82_length_12873_cov_8.700967	contig82
NODE_83_length_12839_cov_45.721683	contig83
NODE_84_length_12732_cov_7.443165	contig84
NODE_85_length_12640_cov_6.040922	contig85
NODE_86_length_12500_cov_4.833186	contig86
NODE_87_length_12359_cov_8.429860	contig87
NODE_88_length_12259_cov_15.756227	contig88
NODE_89_length_12221_cov_6.730643	contig89
NODE_90_length_12203_cov_5.057376	contig90
NODE_91_length_12172_cov_4.888421	contig91
NODE_92_length_12077_cov_4.191150	contig92
NODE_93_length_11988_cov_9.308975	contig93
NODE_94_length_11527_cov_38.472280	contig94
NODE_95_length_11483_cov_31.117606	contig95
NODE_96_length_11455_cov_4.818333	contig96
NODE_97_length_11425_cov_4.059455	contig97
NODE_98_length_11371_cov_4.629993	contig98
NODE_99_length_11280_cov_7.361514	contig99
NODE_100_length_11228_cov_6.333930	contig100
NODE_101_length_11144_cov_19.210569	contig101
NODE_102_length_11131_cov_5.067895	contig102
NODE_103_length_11080_cov_5.635193	contig103
NODE_104_length_11061_cov_7.342359	contig104
NODE_105_length_10965_cov_7.234280	contig105
NODE_106_length_10931_cov_5.022067	contig106
NODE_107_length_10921_cov_19.888183	contig107
NODE_108_length_10781_cov_3.969793	contig108
NODE_109_length_10552_cov_4.012194	contig109
NODE_110_length_10498_cov_32.128794	contig110
NODE_111_length_10361_cov_8.436057	contig111
NODE_112_length_10323_cov_5.890436	contig112
NODE_113_length_10255_cov_3.327647	contig113
NODE_114_length_10225_cov_14.111111	contig114
NODE_115_length_10180_cov_4.103605	contig115
NODE_116_length_10066_cov_4.923085	contig116
NODE_117_length_10001_cov_17.368289	contig117
NODE_118_length_9971_cov_5.919121	contig118
NODE_119_length_9965_cov_3.505550	contig119
NODE_120_length_9939_cov_5.959733	contig120
NODE_121_length_9863_cov_18.852467	contig121
NODE_122_length_9756_cov_13.645604	contig122
NODE_123_length_9756_cov_3.355633	contig123
NODE_124_length_9745_cov_6.401032	contig124
NODE_125_length_9589_cov_4.613279	contig125
NODE_126_length_9500_cov_32.582319	contig126
NODE_127_length_9498_cov_3.739066	contig127
NODE_128_length_9390_cov_5.794322	contig128
NODE_129_length_9365_cov_46.995704	contig129
NODE_130_length_9340_cov_7.523856	contig130
NODE_131_length_9334_cov_5.008945	contig131
NODE_132_length_9270_cov_4.427455	contig132
NODE_133_length_9018_cov_26.692960	contig133
NODE_134_length_9005_cov_5.016425	contig134
NODE_135_length_8927_cov_29.594116	contig135
NODE_136_length_8789_cov_52.114152	contig136
NODE_137_length_8775_cov_3.312729	contig137
NODE_138_length_8684_cov_4.603894	contig138
NODE_139_length_8657_cov_27.775169	contig139
NODE_140_length_8649_cov_3.928788	contig140
NODE_141_length_8481_cov_24.375979	contig141
NODE_142_length_8404_cov_3.912445	contig142
NODE_143_length_8385_cov_4.073349	contig143
NODE_144_length_8356_cov_4.010119	contig144
NODE_145_length_8309_cov_4.277805	contig145
NODE_146_length_8264_cov_4.794616	contig146
NODE_147_length_8210_cov_5.277989	contig147
NODE_148_length_8155_cov_5.063827	contig148
NODE_149_length_8132_cov_4.837811	contig149
NODE_150_length_8073_cov_17.767274	contig150
NODE_151_length_8063_cov_4.050574	contig151
NODE_152_length_7965_cov_12.390139	contig152
NODE_153_length_7938_cov_4.872764	contig153
NODE_154_length_7909_cov_3.269799	contig154
NODE_155_length_7821_cov_7.430080	contig155
NODE_156_length_7799_cov_3.536932	contig156
NODE_157_length_7726_cov_9.216008	contig157
NODE_158_length_7708_cov_4.038024	contig158
NODE_159_length_7610_cov_3.700066	contig159
NODE_160_length_7605_cov_53.788609	contig160
NODE_161_length_7529_cov_33.676612	contig161
NODE_162_length_7417_cov_38.457213	contig162
NODE_163_length_7399_cov_3.937636	contig163
NODE_164_length_7262_cov_4.484806	contig164
NODE_165_length_7246_cov_35.618968	contig165
NODE_166_length_7198_cov_5.014840	contig166
NODE_167_length_7197_cov_48.300616	contig167
NODE_168_length_7192_cov_15.582738	contig168
NODE_169_length_7180_cov_4.349053	contig169
NODE_170_length_7134_cov_3.010312	contig170
NODE_171_length_7095_cov_5.694886	contig171
NODE_172_length_7049_cov_48.223763	contig172
NODE_173_length_7032_cov_36.316182	contig173
NODE_174_length_7030_cov_3.577348	contig174
NODE_175_length_7012_cov_46.377174	contig175
NODE_176_length_6923_cov_6.422539	contig176
NODE_177_length_6818_cov_7.420080	contig177
NODE_178_length_6782_cov_4.564293	contig178
NODE_179_length_6777_cov_4.660220	contig179
NODE_180_length_6747_cov_4.867603	contig180
NODE_181_length_6733_cov_22.950734	contig181
